time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
65,-4.448167,14336,56,218,193.55555555555554,0.157421875,1.0326015949249268,0.41624826192855835,550,-0.025954251235816628,0.0003,1.410194458067417,-14.505003786087036,0.43184471130371094,0.019726947,0.2
66,-5.180272,14592,57,218,193.66666666666666,0.10078125,1.0320841073989868,0.8413904160261154,560,-0.014240488107316197,0.0003,0.2625772271305323,-14.507071948051452,-0.026393909007310867,0.010302344,0.2
67,-3.916966,14848,58,218,192.37662337662337,0.03671875,1.031597375869751,0.031761229038238525,570,-0.009733359725214542,0.0003,65.55101863145828,-14.498431420326233,22.00834846496582,0.0076404996,0.2
69,-4.6656356,15104,59,218,187.9625,0.0,1.0314838886260986,0.006255209445953369,580,-0.003754903853405267,0.0003,375.34857654571533,-14.496806645393372,336.4281921386719,0.0008974881,0.2
70,-4.833014,15360,60,218,189.60493827160494,0.00234375,1.0315485000610352,-0.021633148193359375,590,-0.006170467857737094,0.0003,69.1835069179535,-14.496215867996217,12.580246925354004,0.003825065,0.2
71,-5.260226,15616,61,218,177.27272727272728,0.132421875,1.030638575553894,-0.3860304355621338,600,-0.02311295217368752,0.0003,0.9777361571788787,-14.493728637695312,0.08741024136543274,0.018931925,0.2
72,-5.321316,15872,62,218,175.86516853932585,0.08828125,1.0295504331588745,-0.16840016841888428,610,-0.017067972756922244,0.0003,2.9563856214284896,-14.482840061187744,0.9531551003456116,0.014989953,0.2
73,-5.439969,16128,63,218,176.85714285714286,0.130078125,1.0300946235656738,0.351762592792511,620,-0.01985773240448907,0.0003,0.542099118232727,-14.478325939178466,0.2409372329711914,0.017711207,0.2
74,-5.9711146,16384,64,218,174.7741935483871,0.223828125,1.0293593406677246,0.23501908779144287,630,-0.03707644739188254,0.0003,1.0020001254975797,-14.480782771110535,0.20291446149349213,0.024891904,0.2
76,-5.9711146,16640,65,218,174.7741935483871,0.08046875,1.0294564962387085,-0.050440311431884766,640,-0.009435974061489105,0.0003,63.75454850196839,-14.473084616661072,12.482242584228516,0.01493242,0.2
77,-6.414471,16896,66,218,176.6421052631579,0.071484375,1.0294674634933472,0.5589035451412201,650,-0.01297400671755895,0.0003,0.9431602210737765,-14.477741122245789,0.02275318279862404,0.008048613,0.2
78,-6.484281,17152,67,218,178.36458333333334,0.077734375,1.0296761989593506,0.08656090497970581,660,-0.01690081768319942,0.0003,58.70005767345428,-14.47573435306549,42.35469055175781,0.010251965,0.2
79,-6.484281,17408,68,218,178.36458333333334,0.2359375,1.0294005870819092,0.18128752708435059,670,-0.025109734712168576,0.0003,0.818379758670926,-14.477578139305114,0.2717787027359009,0.025681265,0.2
80,-5.878698,17664,69,218,178.15151515151516,0.142578125,1.0276848077774048,0.5630925297737122,680,-0.02299677871633321,0.0003,0.36041110996156933,-14.46895534992218,-0.035951629281044006,0.019395988,0.2
82,-5.878698,17920,70,218,178.15151515151516,0.033203125,1.0271389484405518,0.00038307905197143555,690,-0.01654014445375651,0.0003,438.8407512664795,-14.455030393600463,333.5599670410156,0.0070954175,0.2
83,-4.8766756,18176,71,217,181.22,0.24609375,1.0294915437698364,0.7817415744066238,700,-0.027932820259593427,0.0003,0.024718674016185105,-14.464332890510558,-0.02707725577056408,0.02309458,0.2
84,-4.8766756,18432,72,217,181.22,0.00078125,1.029793381690979,0.005904018878936768,710,-0.0009469221578910947,0.0003,352.81338558197024,-14.478855299949647,225.08303833007812,0.0017650921,0.2
85,-4.954714,18688,73,217,183.96,0.213671875,1.0301311016082764,0.9876092672348022,720,-0.026766085741110147,0.0003,0.03445858102641068,-14.480528473854065,-0.0435798317193985,0.011990132,0.2
87,-4.954714,18944,74,217,183.96,0.18125,1.0302073955535889,0.7624454349279404,730,-0.02672464734641835,0.0003,0.9776190400123597,-14.482541584968567,0.534487783908844,0.037529957,0.2
88,-5.030342,19200,75,217,187.5,0.203125,1.032997488975525,0.9529175646603107,740,-0.02394730839878321,0.0003,0.017162390862358733,-14.494067192077637,-0.023887254297733307,0.015960705,0.2
