time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/std,train/loss
20480,228,-23.65473,10,89,298.4776119402985,-0.011819932637445163,-14.41623089313507,0.813625693321228,590,0.009687058,0.6653633869253099,0.100537109375,0.0003,0.2,1.0308598279953003,0.12046913802623749
22528,228,-23.4224,11,98,299.24,-0.0054810063913464544,-14.433953085541726,-0.20515751838684082,600,0.01080056,0.2675976266968064,0.119873046875,0.0003,0.2,1.031733751296997,-0.011961221694946289
24576,228,-23.976297,12,107,312.84415584415586,-0.01694624743249733,-14.481121289730073,0.8568697720766068,610,0.012285706,0.19604332806775346,0.147216796875,0.0003,0.2,1.0411996841430664,0.029071450233459473
26624,228,-23.230938,13,116,305.264367816092,-0.007665873278165236,-14.535723787546157,0.9028606489300728,620,0.011383249,0.033751325999037365,0.136865234375,0.0003,0.2,1.0439159870147705,0.018131079152226448
28672,228,-23.541767,14,125,309.75280898876406,-0.020570431569649373,-14.532469236850739,0.8263749331235886,630,0.01589596,0.19613824163097887,0.18095703125,0.0003,0.2,1.0421473979949951,0.013044646009802818
30720,228,-26.233109,15,134,323.19565217391306,-0.005606680102937389,-14.495738610625267,0.9118808060884476,640,0.010172412,0.07886124593496788,0.131982421875,0.0003,0.2,1.034637689590454,0.0017756670713424683
32768,228,-26.41614,16,143,328.55555555555554,-0.0072338938698521815,-14.449657982587814,0.9096554666757584,650,0.010473305,0.20156107858638278,0.1431640625,0.0003,0.2,1.0338776111602783,0.041705384850502014
34816,228,-28.707932,17,152,342.33,-0.007320125150727108,-14.451463711261749,0.1978309154510498,660,0.010017093,25.923540477827192,0.105517578125,0.0003,0.2,1.0348159074783325,0.144134521484375
36864,227,-28.428745,18,161,339.83,-0.008613661551498808,-14.473281100392342,0.9418059177696705,670,0.009936292,0.3946087735123001,0.10205078125,0.0003,0.2,1.038769006729126,0.39641138911247253
38912,227,-35.084324,19,170,358.69,-0.013297157056513242,-14.496640065312386,0.9185001626610756,680,0.011831272,0.24424258704530075,0.12646484375,0.0003,0.2,1.0413824319839478,0.04778255149722099
40960,227,-42.039074,20,179,380.63,-0.004379202870768495,-14.498222741484643,0.874796599149704,690,0.004995354,2.8024004032835363,0.03125,0.0003,0.2,1.0395276546478271,0.36804428696632385
43008,227,-43.14218,21,189,388.25,-0.003297758343978785,-14.486833208799363,0.8406986892223358,700,0.0070796274,3.794864625344053,0.0751953125,0.0003,0.2,1.0387232303619385,1.6547437906265259
45056,227,-47.21125,22,198,412.85,-0.0033842448647192214,-14.480417695641517,0.9349611401557922,710,0.011373734,0.608280051726615,0.07607421875,0.0003,0.2,1.0391944646835327,0.1336042284965515
47104,227,-50.143814,23,207,426.33,-0.008736365894583287,-14.47504676580429,0.9711848925799131,720,0.0118219815,1.2234487239154987,0.132373046875,0.0003,0.2,1.03685462474823,0.2799506187438965
49152,227,-51.174667,24,216,430.66,-0.00456786146532977,-14.429411599040032,0.9660142585635185,730,0.01121783,1.1072255278646481,0.131201171875,0.0003,0.2,1.0306694507598877,0.12542486190795898
51200,227,-52.415073,25,225,426.74,-0.009557905807014322,-14.394649803638458,0.7791250944137573,740,0.01335589,3.1210036886506716,0.123876953125,0.0003,0.2,1.0288622379302979,0.045272208750247955
53248,227,-52.963833,26,234,433.07,-0.011023747516446747,-14.352673706412315,0.8305042088031769,750,0.0130230235,2.3222507807426154,0.143896484375,0.0003,0.2,1.0232698917388916,0.06301923096179962
55296,226,-52.18291,27,243,437.75,-0.014045073006127496,-14.319122749567033,0.932593397796154,760,0.017970763,0.24169754362665116,0.2013671875,0.0003,0.2,1.020909309387207,0.017836034297943115
57344,226,-53.70373,28,252,458.89,-0.005830502369644819,-14.316092279553413,0.30253881216049194,770,0.008792512,38.355929396953435,0.0896484375,0.0003,0.2,1.0231094360351562,6.87998104095459
59392,226,-55.299232,29,262,478.39,-0.00859050832077628,-14.327785557508468,0.8695606589317322,780,0.011818694,0.34348352389642967,0.143359375,0.0003,0.2,1.0231291055679321,0.02850182354450226
61440,226,-55.095047,30,271,484.29,-0.011291866545070662,-14.290498501062393,0.9625135324895382,790,0.014428724,0.09696218807657715,0.1681640625,0.0003,0.2,1.015470266342163,0.015777146443724632
63488,226,-55.62748,31,280,489.68,-0.014064052868343424,-14.215541702508926,0.8303995579481125,800,0.012391351,0.14261412504711188,0.183837890625,0.0003,0.2,1.008971929550171,0.029369208961725235
65536,225,-56.288773,32,290,498.39,-0.012477003471576608,-14.158865827322007,0.7875171601772308,810,0.015406089,0.10264013738051289,0.18310546875,0.0003,0.2,1.0073405504226685,-0.005031213164329529
2048,241,-41.538033,1,8,646.0,-0.010883164720871719,-14.14261586368084,0.933228999376297,820,0.014359826,0.07147041546413675,0.167724609375,0.0003,0.2,1.0055161714553833,-0.005698634311556816
4096,230,-23.58566,2,17,341.3333333333333,-0.014058605361788068,-14.120852655172348,0.9771156739443541,830,0.016106298,0.02592336342204362,0.180615234375,0.0003,0.2,1.0033087730407715,-0.008007043041288853
6144,228,-24.390059,3,26,349.0625,-0.011841163937788224,-14.112581998109818,0.5805402100086212,840,0.012120073,0.41234624329954384,0.133984375,0.0003,0.2,1.0035039186477661,0.08950225263834
8192,227,-33.286896,4,36,425.2105263157895,-0.012048638651322108,-14.103150084614754,0.8657266795635223,850,0.013677397,0.07723064526217058,0.162744140625,0.0003,0.2,1.0020543336868286,-0.009679620154201984
10240,227,-37.173992,5,45,478.95238095238096,-0.011450320282892789,-14.088929787278175,0.7880871295928955,860,0.011932109,0.07817560206894995,0.1294921875,0.0003,0.2,1.0023995637893677,0.018791422247886658
12288,227,-34.105263,6,54,461.03846153846155,-0.007377088839712087,-14.063818883895873,0.9692740254104137,870,0.012644848,0.02275772207940463,0.13828125,0.0003,0.2,0.997410774230957,-0.015359153971076012
14336,227,-29.075333,7,63,439.2258064516129,-0.017670534910575953,-14.002506172657013,0.7594319432973862,880,0.015600296,0.20867652480956167,0.19912109375,0.0003,0.2,0.9921854734420776,0.0360892079770565
16384,227,-29.87031,8,72,439.6666666666667,-0.006960867534507998,-13.983437332510949,0.20367658138275146,890,0.0118488185,33.23331793416291,0.090576171875,0.0003,0.2,0.991579532623291,0.7423206567764282
18432,227,-30.547064,9,81,458.7,-0.009050326330179815,-13.970594319701195,0.2587115168571472,900,0.011142738,2.8711717936443164,0.119677734375,0.0003,0.2,0.9894412159919739,4.110282897949219
20480,227,-30.19572,10,90,458.72727272727275,-0.013074542161484714,-13.928335812687873,0.9025127217173576,910,0.013537668,0.12946715865982697,0.162060546875,0.0003,0.2,0.9852752685546875,0.03372590243816376
22528,227,-28.821388,11,99,443.88,-0.011518114166392479,-13.898389637470245,0.8836388438940048,920,0.017006587,0.17294819753733465,0.151220703125,0.0003,0.2,0.9844525456428528,0.030261743813753128
24576,227,-24.993378,12,108,413.06779661016947,-0.012322314234188525,-13.876494085788726,0.9189679697155952,930,0.012482107,0.1693464769050479,0.141064453125,0.0003,0.2,0.9814358949661255,-0.0074478089809417725
26624,227,-24.238424,13,117,397.089552238806,-0.006302815288654529,-13.873773491382599,0.17283231019973755,940,0.01119752,25.360722032468765,0.09443359375,0.0003,0.2,0.9823037981987,1.4136767387390137
28672,227,-24.448526,14,126,396.75,-0.013329820593935438,-13.89359222650528,0.845294252038002,950,0.013951059,0.3579118163906969,0.13095703125,0.0003,0.2,0.9842997789382935,0.25207918882369995
30720,227,-24.355824,15,135,397.6,-0.011353929435426836,-13.905014687776566,0.937689732760191,960,0.0120844105,0.0759720224479679,0.148681640625,0.0003,0.2,0.9842231869697571,0.023035192862153053
32768,227,-25.038517,16,144,405.8125,-0.009590214438503608,-13.892479962110519,0.9453380554914474,970,0.012860034,0.08735647861321923,0.17265625,0.0003,0.2,0.9835186004638672,0.0016514267772436142
