time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/std,train/clip_fraction,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/entropy_loss
20,4160,65,200,0.9502788782119751,0.2546875,-11.345661,0.014714311528950929,0.037729025,0.6421324908733368,183.7,0.0003,0.2,-0.029974358156323433,2620,-0.03648450970649719,-13.636008739471436
21,4224,66,201,0.9487845301628113,0.4140625,-11.345661,0.02250422853976488,0.09259876,0.754236176609993,183.7,0.0003,0.2,-0.035693999752402304,2630,-0.045993342995643616,-13.614727878570557
21,4288,67,201,0.9483462572097778,0.2859375,-11.345661,0.027077173301950096,0.07615793,0.9637897424399853,183.7,0.0003,0.2,-0.024100631847977637,2640,-0.03313293308019638,-13.606643962860108
21,4352,68,201,0.9483057260513306,0.2203125,-12.560674,0.2572839006781578,0.034523267,-6.2781453132629395,204.38095238095238,0.0003,0.2,-0.027379865013062953,2650,0.04569593816995621,-13.604301834106446
21,4416,69,201,0.9483476877212524,0.00625,-12.560674,4.30969352722168,0.0011207992,0.31308513879776,204.38095238095238,0.0003,0.2,-0.007498437352478504,2660,0.956733226776123,-13.604414653778075
22,4480,70,201,0.9483309984207153,0.0171875,-12.560674,1.606349813938141,0.008588591,0.285672664642334,204.38095238095238,0.0003,0.2,-0.017801617458462714,2670,0.5430976748466492,-13.604684543609618
22,4544,71,201,0.9483041763305664,0.0140625,-12.560674,1.002572239935398,0.0044519166,0.7802834212779999,204.38095238095238,0.0003,0.2,0.003321098908782005,2680,0.1069377064704895,-13.60414686203003
22,4608,72,201,0.9481860399246216,0.3125,-12.560674,0.023219420667737724,0.034031916,-1.5317034721374512,204.38095238095238,0.0003,0.2,-0.028085757791996003,2690,-0.03607764095067978,-13.603695297241211
23,4672,73,201,0.947862982749939,0.2578125,-12.560674,0.01833012020215392,0.07633546,0.4403201937675476,204.38095238095238,0.0003,0.2,-0.028557658661156893,2700,-0.04157986119389534,-13.602136611938477
23,4736,74,201,0.9473755955696106,0.2390625,-12.560674,0.025819291919469835,0.03241343,0.9383440464735031,204.38095238095238,0.0003,0.2,-0.021736792102456094,2710,-0.022454559803009033,-13.596071529388428
23,4800,75,201,0.9470507502555847,0.2359375,-13.626949,0.011492746218573302,0.054504428,0.9742402341216803,217.36363636363637,0.0003,0.2,-0.0254250081256032,2720,-0.037573881447315216,-13.589883518218993
24,4864,76,201,0.947579562664032,0.134375,-13.626949,0.11977901682257652,0.011315444,0.9945302316918969,217.36363636363637,0.0003,0.2,-0.012077548820525408,2730,0.01015566661953926,-13.58904390335083
24,4928,77,201,0.9482356905937195,0.0515625,-13.626949,0.3515132412314415,0.013080929,0.41128140687942505,217.36363636363637,0.0003,0.2,-0.010561609640717506,2740,0.05372094362974167,-13.596121120452882
24,4992,78,201,0.9486151933670044,0.265625,-13.626949,0.04705495908856392,0.07162119,0.38011544942855835,217.36363636363637,0.0003,0.2,-0.04255284303799271,2750,-0.05409307777881622,-13.600979042053222
25,5056,79,201,0.9499988555908203,0.421875,-13.626949,0.012378242472186685,0.061724592,0.8740232586860657,217.36363636363637,0.0003,0.2,-0.04146712329238653,2760,-0.053901299834251404,-13.608866596221924
25,5120,80,201,0.9516575932502747,0.321875,-13.626949,0.032381086982786654,0.044979703,0.9613609611988068,217.36363636363637,0.0003,0.2,-0.026735765300691126,2770,-0.03559531271457672,-13.624826526641845
25,5184,81,201,0.9529223442077637,0.2328125,-13.626949,0.009417222533375024,0.052466437,0.9892630148679018,217.36363636363637,0.0003,0.2,-0.028298492729663848,2780,-0.044426605105400085,-13.639802265167237
26,5248,82,201,0.9533387422561646,0.134375,-13.626949,0.20374065916985273,0.02451463,0.6751313209533691,217.36363636363637,0.0003,0.2,-0.025374867394566535,2790,0.024094808846712112,-13.648143672943116
26,5312,83,201,0.9533592462539673,0.221875,-14.263236,0.038541761413216594,0.03672175,-0.39899682998657227,221.25,0.0003,0.2,-0.02651064656674862,2800,-0.041211992502212524,-13.649539947509766
26,5376,84,201,0.953347384929657,0.0515625,-14.263236,8.383386373519897,0.009927893,0.6396375000476837,221.25,0.0003,0.2,-0.006284122169017792,2810,2.8675851821899414,-13.649008560180665
26,5440,85,201,0.9530020952224731,0.0,-14.263236,0.5815421611070632,0.003169573,0.1649724245071411,221.25,0.0003,0.2,-0.008898288384079934,2820,0.16284403204917908,-13.647530555725098
27,5504,86,201,0.9527594447135925,0.034375,-14.263236,0.1831257626414299,0.011844093,-0.18239915370941162,221.25,0.0003,0.2,-0.01572079472243786,2830,0.015596486628055573,-13.642831897735595
27,5568,87,201,0.953094482421875,0.0703125,-14.263236,0.03453580718487501,0.017428115,0.7462112903594971,221.25,0.0003,0.2,-0.014977418072521686,2840,-0.017498210072517395,-13.642847156524658
27,5632,88,202,0.9529887437820435,0.1890625,-14.263236,0.06869953032582998,0.039997637,0.3203071355819702,221.25,0.0003,0.2,-0.02453683754429221,2850,-0.03466859459877014,-13.644691658020019
28,5696,89,202,0.9531480669975281,0.2515625,-14.640234,0.004301744769327343,0.051451277,0.9533137492835522,227.52,0.0003,0.2,-0.027921966277062893,2860,-0.038570865988731384,-13.64455680847168
28,5760,90,201,0.9529520869255066,0.2046875,-14.640234,0.19374088793992997,0.06273082,0.8651188910007477,227.52,0.0003,0.2,-0.022018862143158912,2870,0.04111616685986519,-13.644794368743897
28,5824,91,201,0.9527425765991211,0.034375,-14.496745,0.18661973178386687,0.011644455,0.852887824177742,222.1153846153846,0.0003,0.2,-0.02218259498476982,2880,-0.005753118544816971,-13.642751502990723
29,5888,92,201,0.9525467157363892,0.0203125,-14.496745,6.2678093910217285,0.0040748445,0.27207231521606445,222.1153846153846,0.0003,0.2,-0.01143908891826868,2890,1.6725269556045532,-13.64045000076294
29,5952,93,201,0.952428936958313,0.0,-14.496745,0.8096663534641266,0.0010622432,-1.2956323623657227,222.1153846153846,0.0003,0.2,-0.006947009079158306,2900,0.15512287616729736,-13.639076137542725
29,6016,94,202,0.9522746205329895,0.178125,-14.496745,0.12288773059844971,0.055393025,0.6385841071605682,222.1153846153846,0.0003,0.2,-0.03985196445137262,2910,-0.02772323042154312,-13.637591552734374
30,6080,95,202,0.9523468017578125,0.2203125,-14.805852,0.1002500580623746,0.03725289,0.8686984479427338,223.96296296296296,0.0003,0.2,-0.02301165647804737,2920,-0.014658693224191666,-13.636610507965088
30,6144,96,202,0.9524441957473755,0.071875,-14.805852,0.9983333081007004,0.009570044,0.8935022950172424,223.96296296296296,0.0003,0.2,0.009295713063329459,2930,0.17207995057106018,-13.636318683624268
30,6208,97,202,0.952563464641571,0.0,-14.805852,7.180208301544189,0.0019284412,0.6855325102806091,223.96296296296296,0.0003,0.2,-0.010031165927648545,2940,2.363452672958374,-13.637295055389405
31,6272,98,202,0.9523512125015259,0.015625,-14.805852,0.3137116447091103,0.00941176,-1.311565637588501,223.96296296296296,0.0003,0.2,-0.013908794149756432,2950,0.034573741257190704,-13.637089920043945
31,6336,99,202,0.9511482119560242,0.2375,-14.805852,0.03951482456177473,0.03511774,0.935873419046402,223.96296296296296,0.0003,0.2,-0.024349235557019712,2960,-0.022885911166667938,-13.630611610412597
31,6400,100,202,0.9501161575317383,0.0859375,-14.948699,0.25933039337396624,0.021038074,-3.7324585914611816,227.10714285714286,0.0003,0.2,-0.01996169611811638,2970,0.036569248884916306,-13.61753215789795
