time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean
71680,218,327,280,7700,0.194921875,-14.032694149017335,0.050714995712041855,0.2,231.66,0.022883698,-0.02622078759595752,0.0003,1.000618577003479,0.565854424610734,0.9728336110711098,12.706347
71936,218,328,281,7710,0.223046875,-14.034535527229309,0.11131396889686584,0.2,229.11,0.021720864,-0.023532888968475163,0.0003,1.0006145238876343,0.45314321517944334,0.9484839029610157,12.6318
72192,218,330,282,7720,0.150390625,-14.035589504241944,217.4832305908203,0.2,224.02,0.013027105,-0.009923095745034517,0.0003,1.0005066394805908,257.2009205818176,0.14695894718170166,13.501362
72448,218,331,283,7730,0.04296875,-14.034282994270324,150.60455322265625,0.2,224.85,0.009367758,-0.015189242945052684,0.0003,1.0002473592758179,233.8314866065979,0.2519546151161194,13.55914
72704,218,332,284,7740,0.075390625,-14.037882161140441,0.11868157237768173,0.2,227.44,0.009314067,-0.012123698764480651,0.0003,1.002626657485962,1.1771661300212144,0.8206916749477386,12.621258
72960,218,333,285,7750,0.15,-14.060484552383423,0.0939512699842453,0.2,228.73,0.023777045,-0.026665824512019754,0.0003,1.0029371976852417,1.2717695817351342,0.8319831788539886,11.547739
73216,218,334,286,7760,0.1140625,-14.05697841644287,1.7419121265411377,0.2,227.61,0.017704032,-0.012520000338554382,0.0003,1.0022863149642944,6.21849644780159,0.45958465337753296,11.254024
73472,218,335,287,7770,0.208984375,-14.044469475746155,0.004042716696858406,0.2,228.95,0.01903653,-0.025749721052125096,0.0003,1.000299096107483,0.20887172725051642,0.9412836618721485,11.325469
73728,218,337,288,7780,0.166796875,-14.029393339157105,0.0215575210750103,0.2,228.95,0.01267861,-0.019203469960484654,0.0003,1.000229835510254,0.15964356157928705,0.9687214717268944,11.325469
73984,218,338,289,7790,0.164453125,-14.025893497467042,-0.007745973765850067,0.2,229.82,0.013794505,-0.014861841360107065,0.0003,0.9998551607131958,0.09787057852372527,0.9859471591189504,11.424827
74240,218,339,290,7800,0.239453125,-13.997844791412353,0.016718659549951553,0.2,227.98,0.01900761,-0.02844546746928245,0.0003,0.9945645332336426,0.09693872313946486,0.9772478453814983,12.762019
74496,218,340,291,7810,0.065234375,-13.956715965270996,88.24195861816406,0.2,226.44,0.010211952,-0.011409321310929954,0.0003,0.9932495355606079,298.42935962677,0.14635354280471802,12.6695175
74752,218,341,292,7820,0.107421875,-13.952523636817933,4.622652530670166,0.2,227.36,0.014273775,-0.019917869777418672,0.0003,0.9932228326797485,10.658430457115173,0.26938068866729736,13.803592
75008,218,342,293,7830,0.0015625,-13.950392389297486,60.53082275390625,0.2,227.36,0.0029308267,-0.00316116304602474,0.0003,0.9931300282478333,245.70972194671631,0.26548224687576294,13.803592
75264,218,344,294,7840,0.163671875,-13.95225749015808,0.26874980330467224,0.2,227.21,0.017688008,-0.02680279267951846,0.0003,0.9939901232719421,3.282774990797043,0.6299610733985901,13.726648
75520,218,345,295,7850,0.09375,-13.965512537956238,0.038969118148088455,0.2,223.48,0.014052397,-0.010498435772024094,0.0003,0.9952556490898132,0.6509535470977426,0.8092790842056274,13.187331
75776,218,346,296,7860,0.10859375,-13.977489447593689,0.5807347297668457,0.2,220.94,0.012992255,-0.010930579341948032,0.0003,0.9959554672241211,3.3201779782772065,0.5232246220111847,13.074776
76032,218,347,297,7870,0.158203125,-13.979096174240112,0.0338834747672081,0.2,217.54,0.020268243,-0.019642735295929015,0.0003,0.9942563772201538,1.5120852906256914,0.2723339796066284,11.774196
76288,218,348,298,7880,0.09765625,-13.961621570587159,2.466336727142334,0.2,214.95,0.019148618,-0.018180056754499675,0.0003,0.9932092428207397,8.940658390522003,0.5998827517032623,10.460144
76544,218,349,299,7890,0.032421875,-13.957015371322631,172.2758026123047,0.2,215.01,0.010138961,-0.00814903697464615,0.0003,0.9926984906196594,335.98452711105347,0.0004971623420715332,10.43851
76800,218,351,300,7900,0.180859375,-13.953448677062989,0.01590259000658989,0.2,212.55,0.020900711,-0.022669730242341757,0.0003,0.9923349618911743,0.6300055742263794,0.8948980793356895,10.295893
77056,218,352,301,7910,0.244140625,-13.945083665847779,1.1589106321334839,0.2,205.11,0.016192064,-0.024597969721071422,0.0003,0.990720272064209,1.5722057558596134,0.453066349029541,9.7802305
77312,218,353,302,7920,0.133203125,-13.932548904418946,3.0653624534606934,0.2,203.93,0.018008366,-0.016756828920915724,0.0003,0.9900209307670593,8.72317349910736,0.19054293632507324,9.553546
77568,218,354,303,7930,0.105078125,-13.930938148498536,0.05887690186500549,0.2,200.98,0.009323966,-0.017113031155895443,0.0003,0.9900113940238953,0.7629471488296986,0.8480790555477142,9.838505
77824,218,355,304,7940,0.0796875,-13.935977435112,1.520425796508789,0.2,200.98,0.0072724367,-0.01276923380792141,0.0003,0.991258978843689,5.196446079015732,0.10881572961807251,9.838505
78080,218,356,305,7950,0.16875,-13.948355746269225,0.06275636702775955,0.2,195.97,0.009801219,-0.01697684987448156,0.0003,0.9916311502456665,0.8767852891236544,0.9232093989849091,8.306326
78336,218,358,306,7960,0.116796875,-13.942905020713805,2.173936605453491,0.2,195.97,0.011392139,-0.01494261552579701,0.0003,0.9913907051086426,4.344541615247726,0.4227673411369324,8.306326
78592,218,359,307,7970,0.219921875,-13.94802987575531,-0.017696017399430275,0.2,193.24,0.01505842,-0.025932276737876236,0.0003,0.9932975769042969,0.46800046116113664,0.9110251665115356,7.9661345
78848,218,360,308,7980,0.196484375,-13.962656569480895,0.420515239238739,0.2,194.03,0.023156881,-0.02037832364439964,0.0003,0.993695080280304,1.9134275749325753,0.6808265149593353,6.8660717
79104,218,361,309,7990,0.2859375,-13.962388372421264,0.601148784160614,0.2,193.45,0.024691148,-0.02590712938690558,0.0003,0.9934953451156616,1.9964591547846795,0.7002762854099274,6.7728596
79360,218,362,310,8000,0.262109375,-13.96578106880188,-0.029179152101278305,0.2,185.09,0.017033868,-0.032797516277059915,0.0003,0.9933233261108398,0.11627717148512602,0.9796940870583057,7.284012
79616,218,363,311,8010,0.037890625,-13.96758131980896,114.4254150390625,0.2,183.03,0.009352654,-0.008482938003726303,0.0003,0.9931690096855164,355.6667003631592,-0.016362667083740234,7.153924
79872,218,365,312,8020,0.283203125,-13.973986029624939,0.07420480251312256,0.2,182.4,0.026246924,-0.019961451110430063,0.0003,0.9944855570793152,2.5379593044519426,0.3931119441986084,7.0312486
80128,218,366,313,8030,0.186328125,-13.974798798561096,0.09808684885501862,0.2,181.94,0.016074695,-0.022226540464907886,0.0003,0.9916403889656067,0.22986434921622276,0.9564386643469334,6.959686
80384,218,367,314,8040,0.206640625,-13.957332372665405,0.04786098003387451,0.2,181.5,0.01770683,-0.02240871163085103,0.0003,0.9919379353523254,0.1286839463748038,0.9835782181471586,6.8428936
80640,218,368,315,8050,0.15859375,-13.967442870140076,0.009510539472103119,0.2,182.39,0.012054083,-0.01824954606126994,0.0003,0.9929240345954895,0.31811490780673923,0.8986326977610588,6.880163
80896,218,369,316,8060,0.2328125,-13.973782181739807,-0.011830907315015793,0.2,181.71,0.021436404,-0.028167608147487044,0.0003,0.993355929851532,0.16270341631025076,0.9600856378674507,6.7578797
81152,218,370,317,8070,0.26328125,-13.980475258827209,-0.011752210557460785,0.2,181.24,0.026634138,-0.029988746007438748,0.0003,0.9947064518928528,0.10291059236042202,0.9827011898159981,6.64347
81408,218,371,318,8080,0.205078125,-13.97786362171173,0.026267297565937042,0.2,180.45,0.014709858,-0.025252729817293585,0.0003,0.9915204048156738,0.10339256851002573,0.9820382874459028,6.4713697
81664,218,373,319,8090,0.230078125,-13.95689036846161,-0.0448417067527771,0.2,182.65,0.017823378,-0.027397450647549705,0.0003,0.9921096563339233,0.10367550277151168,0.9836565889418125,5.399895
81920,218,374,320,8100,0.240234375,-13.973417448997498,-0.003878377377986908,0.2,182.08,0.022468895,-0.027319102257024497,0.0003,0.9942581057548523,0.1049432902596891,0.981446884572506,5.2874846
82176,218,375,321,8110,0.19765625,-13.998397970199585,-0.024402493610978127,0.2,181.24,0.011682533,-0.0253650086466223,0.0003,0.9968329668045044,0.05812328089959919,0.990576178766787,5.1095366
82432,218,376,322,8120,0.2296875,-14.021827673912048,-0.02658820152282715,0.2,180.42,0.013425379,-0.024161863746121524,0.0003,0.9981968998908997,0.07147408660966903,0.9869287712499499,4.929585
82688,218,377,323,8130,0.238671875,-14.024358892440796,-0.015082160010933876,0.2,181.63,0.016137931,-0.0312877235468477,0.0003,0.9981592297554016,0.058888017758727075,0.9918799418956041,4.959331
82944,218,378,324,8140,0.219140625,-14.02623541355133,-0.03378666192293167,0.2,182.4,0.020763783,-0.021106147556565702,0.0003,0.9992296099662781,0.07225905542727559,0.9786292295902967,4.941487
83200,218,380,325,8150,0.22265625,-14.027973747253418,-0.006836609914898872,0.2,181.39,0.014374019,-0.021925671078497543,0.0003,0.9993206262588501,0.05557704023085534,0.9851687652990222,4.779424
83456,218,381,326,8160,0.163671875,-14.028838968276977,-0.021098876371979713,0.2,181.39,0.014522668,-0.024315070954617112,0.0003,0.9998065233230591,0.03235052130185068,0.9933684123679996,4.779424
83712,218,382,327,8170,0.2578125,-14.042147469520568,-0.020844684913754463,0.2,183.03,0.0152190905,-0.02824871689081192,0.0003,1.0035218000411987,0.013242880848702043,0.9945715111680329,4.8257422
83968,218,383,328,8180,0.14453125,-14.079649448394775,1.0040119886398315,0.2,184.94,0.019914273,-0.020121825858950615,0.0003,1.0067678689956665,3.838336431980133,0.2701978087425232,4.850204
84224,218,384,329,8190,0.27109375,-14.103950142860413,-0.06006984785199165,0.2,186.35,0.022723928,-0.034883805783465505,0.0003,1.0080950260162354,0.00994197604013607,0.9974869410507381,4.854619
84480,218,385,330,8200,0.153125,-14.1109543800354,-0.03789082169532776,0.2,185.52,0.0146095995,-0.02092143436893821,0.0003,1.0074843168258667,0.032652888679876924,0.9941507368348539,4.6549783
84736,218,386,331,8210,0.145703125,-14.106741189956665,0.00035191047936677933,0.2,181.81,0.014612337,-0.01407081661745906,0.0003,1.0076887607574463,0.06890249678399414,0.9509571418166161,5.3377776
84992,218,388,332,8220,0.091796875,-14.115715265274048,151.96188354492188,0.2,182.53,0.0126806665,-0.01069084827322513,0.0003,1.0084338188171387,325.69524059295657,0.062285661697387695,7.5059886
85248,218,389,333,8230,0.0,-14.118399453163146,180.31761169433594,0.2,184.09,0.00043443777,-0.0018769480753690003,0.0003,1.0083959102630615,628.4759162902832,0.04638946056365967,8.637505
85504,218,390,334,8240,0.0,-14.116769647598266,159.2027130126953,0.2,185.94,0.001123541,-0.002923071407712996,0.0003,1.0081775188446045,300.07893466949463,0.20513993501663208,8.643883
